Geneid	gene_symbol	Chr	Start	End	Strand	Length	logFC	P.Value	FDR
ENSG00000135046.14	ANXA1	chr9	73159424	73159879	+	456	0.4495773612	5.47E-05	0.02283504443
ENSG00000165458.15	INPPL1	chr11	72225052	72225068	+	17	0.6583216907	1.78E-06	0.001522064204
ENSG00000244255.5	ENSG00000244255	chr6	31943644	31943809	+	166	0.6303647641	4.05E-06	0.00295509646
ENSG00000136856.18	SLC2A8	chr9	127397384	127397538	+	155	0.9093513236	2.44E-06	0.001955485817
ENSG00000244255.5	ENSG00000244255	chr6	31928732	31928917	+	186	0.8077028061	4.13E-06	0.002998504374
ENSG00000108582.12	CPD	chr17	30378927	30379615	+	689	0.3674854384	2.54E-06	0.00201210262
ENSG00000168502.18	MTCL1	chr18	8705556	8706713	+	1158	0.3941935967	2.34E-06	0.001905297215
ENSG00000110917.8	MLEC	chr12	120687245	120687531	+	287	0.3332927736	8.26E-06	0.005315424152
ENSG00000170345.10	FOS	chr14	75280375	75280559	+	185	0.4404894641	3.77E-06	0.002776146974
ENSG00000172922.11	RNASEH2C	chr11	65720527	65720586	-	60	0.9640908572	1.21E-05	0.007231094045
ENSG00000172939.9	OXSR1	chr3	38165537	38165646	+	110	0.5294483468	3.23E-06	0.002423961221
ENSG00000120913.24	PDLIM2	chr8	22579150	22579209	+	60	1.096974457	5.98E-06	0.004053166109
ENSG00000185896.11	LAMP1	chr13	113297239	113297495	+	257	0.3944748651	5.74E-06	0.00392038704
ENSG00000053747.17	LAMA3	chr18	23689453	23689597	+	145	1.0262959	5.77E-06	0.003935057169
ENSG00000103266.11	STUB1	chr16	680419	680423	+	5	2.108718043	3.09E-06	0.002336770048
ENSG00000163399.16	ATP1A1	chr1	116373244	116373268	+	25	0.6489028415	4.40E-05	0.01924422895
ENSG00000111640.15	GAPDH	chr12	6537391	6537583	+	193	0.4510691644	2.92E-06	0.002232050976
ENSG00000141698.17	NT5C3B	chr17	41836079	41836181	-	103	0.562875362	3.02E-06	0.002303097525
ENSG00000072110.16	ACTN1	chr14	68979263	68979267	-	5	0.7435611638	1.85E-06	0.001571640113
ENSG00000234608.9	MAPKAPK5-AS1	chr12	111841984	111842902	-	919	0.3908008507	9.17E-06	0.005832445784
ENSG00000133812.18	SBF2	chr11	10294194	10294207	-	14	1.445439871	1.89E-06	0.001596083244
ENSG00000155506.19	LARP1	chr5	154755985	154756002	+	18	1.057082895	2.51E-06	0.001993218835
ENSG00000058262.11	SEC61A1	chr3	128052401	128052410	+	10	1.099782284	1.42E-05	0.008270014102
ENSG00000101160.15	CTSZ	chr20	59007231	59007236	-	6	0.818701108	2.26E-06	0.001855048782
ENSG00000168038.11	ULK4	chr3	41961926	41961994	-	69	1.265562684	6.67E-06	0.004439396959
ENSG00000196914.9	ARHGEF12	chr11	120336413	120336913	+	501	0.3775983454	2.35E-06	0.001908629937
ENSG00000089006.17	SNX5	chr20	17968458	17968458	-	1	0.7072993827	1.25E-05	0.00739861296
ENSG00000119900.9	OGFRL1	chr6	71288811	71289170	+	360	0.4928094612	9.81E-06	0.006140695047
ENSG00000197930.13	ERO1A	chr14	52695706	52695888	-	183	0.761030693	3.56E-06	0.002645312171
ENSG00000069998.12	HDHD5	chr22	17159126	17159168	-	43	0.6374041937	6.22E-05	0.02501699056
ENSG00000213347.11	MXD3	chr5	177307813	177307881	-	69	0.4541117253	4.98E-05	0.02124710137
ENSG00000092098.18	RNF31	chr14	24147701	24147715	+	15	0.7711911105	3.68E-06	0.002715796091
ENSG00000196756.15	SNHG17	chr20	38427290	38427403	-	114	-0.4213263896	2.30E-06	0.001879139162
ENSG00000112851.16	ERBIN	chr5	66080507	66080516	+	10	2.378011079	2.69E-06	0.002106398065
ENSG00000165801.10	ARHGEF40	chr14	21070304	21070316	+	13	1.333691973	4.88E-06	0.003420042981
ENSG00000153015.17	CWC27	chr5	65099252	65102412	+	3161	0.8704523042	5.44E-05	0.02283504443
ENSG00000111640.15	GAPDH	chr12	6536818	6536919	+	102	0.5782412818	4.11E-06	0.002984527078
ENSG00000169398.20	PTK2	chr8	141001261	141001266	-	6	1.460880104	2.38E-06	0.001921785969
ENSG00000010626.15	LRRC23	chr12	6905076	6905250	+	175	2.149233559	6.47E-06	0.004328432904
ENSG00000188895.12	MSL1	chr17	40122614	40122760	+	147	0.6641770229	4.51E-06	0.003232503097
ENSG00000163939.19	PBRM1	chr3	52685883	52685913	-	31	0.9406726149	3.00E-06	0.002290938495
ENSG00000168487.20	BMP1	chr8	22165335	22165371	+	37	0.8447279997	3.63E-06	0.002685394144
ENSG00000075223.14	SEMA3C	chr7	80919183	80919183	-	1	1.43649134	4.74E-05	0.02040637092
ENSG00000163702.21	IL17RC	chr3	9933081	9933233	+	153	0.4887274956	3.94E-06	0.002889797916
ENSG00000107404.21	DVL1	chr1	1349113	1349418	-	306	0.639609836	4.81E-06	0.003386470112
ENSG00000140332.18	TLE3	chr15	70097020	70097404	-	385	0.4836954468	5.09E-06	0.003541511368
ENSG00000173171.15	MTX1	chr1	155208797	155209237	+	441	0.6293887977	4.17E-05	0.01842317013
ENSG00000095787.26	WAC	chr10	28533118	28533312	+	195	0.4832010954	3.06E-06	0.002325165171
ENSG00000135387.21	CAPRIN1	chr11	34051751	34051871	+	121	0.4465927697	3.61E-06	0.002675696608
ENSG00000116560.12	SFPQ	chr1	35192222	35193145	-	924	0.4330797363	5.90E-06	0.004005766753
ENSG00000143514.18	TP53BP2	chr1	223845795	223845930	-	136	0.8726243589	3.26E-05	0.01539758124
ENSG00000135480.17	KRT7	chr12	52233243	52233275	+	33	0.4632691871	4.55E-06	0.003244694109
ENSG00000135052.16	GOLM1	chr9	86099411	86099558	-	148	0.3588266248	0.0001084552443	0.03835508293
ENSG00000133612.19	AGAP3	chr7	151086475	151086741	+	267	0.7773155255	1.29E-05	0.00757710836
ENSG00000213347.11	MXD3	chr5	177307781	177307812	-	32	0.5087078562	6.35E-05	0.02547464872
ENSG00000113645.15	WWC1	chr5	168291645	168292149	+	505	0.4026026658	2.86E-05	0.01408824161
ENSG00000213347.11	MXD3	chr5	177307882	177307964	-	83	0.4249938496	6.62E-05	0.0261569672
ENSG00000064115.11	TM7SF3	chr12	27014212	27014308	-	97	0.7366874965	4.82E-06	0.003386470112
ENSG00000225205.5	PDK1-AS1	chr2	172556089	172556407	-	319	0.4720285377	1.60E-05	0.009055304136
ENSG00000108179.14	PPIF	chr10	79347469	79347499	+	31	1.020285951	1.26E-05	0.007479777764
ENSG00000170471.15	RALGAPB	chr20	38472843	38472899	+	57	0.9426899301	4.40E-06	0.003164054244
ENSG00000235173.7	HGH1	chr8	144138019	144138289	+	271	0.9281608106	8.28E-06	0.005316276626
ENSG00000110697.13	PITPNM1	chr11	67505340	67505363	-	24	1.378783901	4.50E-06	0.003231626301
ENSG00000244255.5	ENSG00000244255	chr6	31927955	31928164	+	210	0.7112377211	9.22E-06	0.005847676275
ENSG00000145919.11	BOD1	chr5	173616359	173616588	-	230	0.4621909179	1.13E-05	0.006885738984
ENSG00000148680.16	HTR7	chr10	90857699	90858039	-	341	1.09649563	3.01E-05	0.0146585644
ENSG00000166337.11	TAF10	chr11	6612064	6612076	-	13	1.163858363	1.30E-05	0.007614903998
ENSG00000160710.18	ADAR	chr1	154589369	154589462	-	94	0.3677726151	1.15E-05	0.006933894903
ENSG00000162378.13	ZYG11B	chr1	52726467	52726683	+	217	0.6067464221	7.16E-05	0.02772816075
ENSG00000213347.11	MXD3	chr5	177310426	177310540	-	115	0.407052445	7.34E-05	0.02817320502
ENSG00000120708.17	TGFBI	chr5	136028991	136029138	+	148	0.4375434021	5.04E-06	0.00351249942
ENSG00000065559.15	MAP2K4	chr17	12020834	12020869	+	36	1.50822303	6.83E-06	0.004516056301
ENSG00000101974.15	ATP11C	chrX	139932016	139933053	-	1038	0.432062492	2.90E-05	0.01424338859
ENSG00000130725.8	UBE2M	chr19	58558355	58558611	-	257	0.4734593009	1.06E-05	0.006469601284
ENSG00000184922.15	FMNL1	chr17	45221908	45222097	+	190	1.148199813	4.82E-06	0.003386470112
ENSG00000186854.11	TRABD2A	chr2	84881085	84881150	-	66	0.9949566055	3.46E-05	0.01609031856
ENSG00000050393.12	MCUR1	chr6	13814015	13814557	-	543	0.3725492021	1.14E-05	0.006901045042
ENSG00000092098.18	RNF31	chr14	24147698	24147700	+	3	0.8596571945	6.37E-06	0.004270349456
ENSG00000113580.15	NR3C1	chr5	143403785	143403882	-	98	1.876551682	6.51E-06	0.004348692271
ENSG00000198825.15	INPP5F	chr10	119726208	119726245	+	38	1.111803189	5.40E-06	0.003712979874
ENSG00000174915.12	PTDSS2	chr11	450354	450419	+	66	0.9689201985	6.00E-06	0.004060164036
ENSG00000099385.12	BCL7C	chr16	30893943	30894077	-	135	0.6225961394	1.58E-05	0.009025300863
ENSG00000108523.16	RNF167	chr17	4940008	4940045	+	38	1.032139196	3.31E-05	0.01554877662
ENSG00000157514.18	TSC22D3	chrX	107715951	107716314	-	364	0.6179669339	9.47E-06	0.005978917922
ENSG00000186409.19	CCDC30	chr1	42463922	42464217	+	296	2.154896403	6.75E-05	0.0265132665
ENSG00000077782.23	FGFR1	chr8	38468309	38468601	-	293	0.5609693409	4.18E-06	0.003024288233
ENSG00000138760.11	SCARB2	chr4	76213773	76213789	-	17	1.038458932	4.98E-06	0.003482013039
ENSG00000175166.17	PSMD2	chr3	184299239	184299240	+	2	0.8389871986	1.28E-05	0.00757710836
ENSG00000151414.15	NEK7	chr1	198157097	198157120	+	24	1.07317509	1.07E-05	0.006534051842
ENSG00000101596.17	SMCHD1	chr18	2655919	2656261	+	343	0.3844097452	8.65E-06	0.005525344287
ENSG00000118046.17	STK11	chr19	1205778	1206185	+	408	1.062268452	7.55E-06	0.004909378043
ENSG00000076604.16	TRAF4	chr17	28744055	28744084	+	30	1.029878666	6.33E-06	0.004251452212
ENSG00000116871.16	MAP7D1	chr1	36156175	36156197	+	23	0.737985335	6.24E-06	0.00421209636
ENSG00000178719.17	GRINA	chr8	143990083	143990199	+	117	0.6584287924	9.18E-06	0.005832445784
ENSG00000117906.14	RCN2	chr15	76931755	76931870	+	116	1.018774335	1.44E-05	0.008362235298
ENSG00000180573.10	H2AC6	chr6	26138054	26139084	+	1031	-0.311306593	3.08E-05	0.01486660674
ENSG00000022840.17	RNF10	chr12	120534408	120534587	+	180	0.6024204293	5.23E-06	0.00361589046
ENSG00000148399.13	DPH7	chr9	137578889	137578889	-	1	1.143208209	1.03E-05	0.006387884995
ENSG00000148399.13	DPH7	chr9	137578876	137578888	-	13	0.9261410035	1.04E-05	0.006412872727
ENSG00000123472.13	ATPAF1	chr1	46668180	46668364	-	185	1.013858801	9.79E-06	0.006140695047
ENSG00000157514.18	TSC22D3	chrX	107715773	107715897	-	125	0.7604596808	1.10E-05	0.006676977028
ENSG00000213347.11	MXD3	chr5	177307435	177307703	-	269	0.3586649459	9.27E-05	0.03396169144
ENSG00000196155.13	PLEKHG4	chr16	67279277	67279531	+	255	1.112841162	6.54E-06	0.004356182659
ENSG00000100568.11	VTI1B	chr14	67674611	67674632	-	22	0.6137934646	1.32E-05	0.00770342216
ENSG00000183087.15	GAS6	chr13	113863833	113864015	-	183	0.6868236228	1.14E-05	0.006886096218
ENSG00000099840.14	IZUMO4	chr19	2097585	2097812	+	228	1.326980642	0.0001554539871	0.04933502285
ENSG00000197312.12	DDI2	chr1	15617458	15617542	+	85	1.175028679	3.14E-05	0.01507374306
ENSG00000129235.11	TXNDC17	chr17	6641466	6641498	+	33	1.910731168	2.71E-05	0.01356816193
ENSG00000116871.16	MAP7D1	chr1	36156198	36156201	+	4	0.7085165255	7.10E-06	0.004659769356
ENSG00000133597.11	ADCK2	chr7	140672945	140673152	+	208	0.8546204498	1.64E-05	0.00920380067
ENSG00000134278.16	SPIRE1	chr18	12658046	12658107	-	62	1.310167076	1.90E-05	0.0102712683
ENSG00000230262.8	LINC02603	chr9	94259462	94259545	-	84	1.97022422	4.11E-05	0.0182083247
ENSG00000153113.24	CAST	chr5	96662376	96662402	+	27	1.129057284	5.02E-06	0.003501901896
ENSG00000083845.9	RPS5	chr19	58393954	58394496	+	543	0.825729985	1.00E-05	0.006250921155
ENSG00000095015.6	MAP3K1	chr5	56815549	56816055	+	507	0.4874038325	7.13E-05	0.02767262948
ENSG00000124209.4	RAB22A	chr20	58309758	58310012	+	255	0.3887118722	2.65E-05	0.01334658754
ENSG00000138448.13	ITGAV	chr2	186590056	186590062	+	7	0.6201568551	6.33E-06	0.004251452212
ENSG00000167323.13	STIM1	chr11	3855702	3855702	+	1	0.7253310761	6.89E-06	0.004531175999
ENSG00000102898.13	NUTF2	chr16	67847114	67847158	+	45	1.612000169	9.35E-06	0.005917331733
ENSG00000244255.5	ENSG00000244255	chr6	31944727	31944853	+	127	0.6348448109	1.43E-05	0.008302832826
ENSG00000135269.18	TES	chr7	116210539	116210548	+	10	0.7744321391	2.74E-05	0.01367205183
ENSG00000178761.15	FAM219B	chr15	74906808	74906837	-	30	1.325736742	7.94E-06	0.00513695262
ENSG00000065559.15	MAP2K4	chr17	12020976	12021001	+	26	0.7908518658	1.04E-05	0.006415961468
ENSG00000198399.16	ITSN2	chr2	24360310	24360472	-	163	0.7612612756	7.18E-06	0.004694921195
ENSG00000101160.15	CTSZ	chr20	59007237	59007237	-	1	0.7932040287	6.72E-06	0.004462388186
ENSG00000261236.8	BOP1	chr8	144291371	144291438	-	68	0.7571645801	1.05E-05	0.006423005133
ENSG00000149485.19	FADS1	chr11	61816779	61816991	-	213	0.5224202704	6.85E-06	0.004516900475
ENSG00000259529.2	ENSG00000259529	chr14	24147548	24147890	+	343	0.4229356775	0.000104789156	0.03749347506
ENSG00000169429.12	CXCL8	chr4	73740723	73740803	+	81	0.6536584482	2.07E-05	0.01096121445
ENSG00000118515.12	SGK1	chr6	134173909	134174004	-	96	0.7019210516	7.47E-06	0.00486686767
ENSG00000169429.12	CXCL8	chr4	73742033	73742330	+	298	0.5842229716	2.10E-05	0.01099508337
ENSG00000108561.8	C1QBP	chr17	5438842	5439155	-	314	0.4331054424	1.62E-05	0.009114404748
ENSG00000169660.17	HEXD	chr17	82418347	82418660	+	314	0.5616286355	1.04E-05	0.006412872727
ENSG00000172175.16	MALT1	chr18	58671566	58671630	+	65	0.6687987765	8.09E-06	0.005222461839
ENSG00000083845.9	RPS5	chr19	58387264	58387268	+	5	1.076461022	1.18E-05	0.007090550065
ENSG00000103855.18	CD276	chr15	73684281	73684382	+	102	0.7980026855	3.96E-05	0.01775959778
ENSG00000115275.15	MOGS	chr2	74465082	74465162	-	81	0.5710998959	8.69E-06	0.005541235013
ENSG00000065029.15	ZNF76	chr6	35258909	35258981	+	73	0.8370956916	8.02E-05	0.03019171312
ENSG00000141526.18	SLC16A3	chr17	82229045	82229054	+	10	1.526532376	9.76E-06	0.006131603713
ENSG00000133816.19	MICAL2	chr11	12110608	12110726	+	119	0.4805065101	6.75E-06	0.004474506311
ENSG00000086232.13	EIF2AK1	chr7	6059057	6059164	-	108	0.5714346304	1.14E-05	0.006886096218
ENSG00000108106.14	UBE2S	chr19	55407720	55407771	-	52	1.238501317	3.55E-05	0.01642406125
ENSG00000163870.16	TPRA1	chr3	127590410	127590592	-	183	0.5153185611	1.14E-05	0.006892839059
ENSG00000231721.8	LINC-PINT	chr7	131106271	131106356	-	86	1.049933491	7.12E-06	0.004666846237
ENSG00000018189.13	RUFY3	chr4	70704894	70705230	+	337	0.5151537195	2.02E-05	0.01076176
ENSG00000268173.3	ENSG00000268173	chr19	18160471	18160563	+	93	0.6226841412	1.42E-05	0.008270014102
ENSG00000146457.16	WTAP	chr6	159727566	159727587	+	22	1.362106052	1.59E-05	0.009055304136
ENSG00000243649.10	CFB	chr6	31951605	31951874	+	270	1.016099124	8.53E-06	0.005467040168
ENSG00000167552.15	TUBA1A	chr12	49186834	49186989	-	156	1.313431499	1.62E-05	0.009114747789
ENSG00000196182.11	STK40	chr1	36385889	36385924	-	36	1.949546884	1.60E-05	0.009070494105
ENSG00000179583.21	CIITA	chr16	10928333	10931824	+	3492	0.3338392423	1.88E-05	0.01023872974
ENSG00000119801.13	YPEL5	chr2	30147561	30147951	+	391	0.8608765166	6.18E-05	0.02494977757
ENSG00000164045.12	CDC25A	chr3	48187967	48188215	-	249	0.4695263801	1.48E-05	0.0085428231
ENSG00000162980.17	ARL5A	chr2	151828422	151828441	-	20	1.320562584	2.13E-05	0.01113671002
ENSG00000151376.18	ME3	chr11	86671823	86671958	-	136	0.5020685565	1.16E-05	0.006978111533
ENSG00000165801.10	ARHGEF40	chr14	21070291	21070303	+	13	1.453585747	1.50E-05	0.008620794818
ENSG00000115808.12	STRN	chr2	36966382	36966471	-	90	0.6195839646	0.0001141084769	0.03980157033
ENSG00000082146.13	STRADB	chr2	201451796	201451938	+	143	0.6245878502	1.39E-05	0.008139049682
ENSG00000134508.13	CABLES1	chr18	23135546	23136423	+	878	0.5853519642	1.61E-05	0.009095267524
ENSG00000206573.11	THUMPD3-AS1	chr3	9396655	9396658	-	4	1.268458236	3.48E-05	0.01613496262
ENSG00000247556.7	OIP5-AS1	chr15	41301939	41301943	+	5	-1.084562211	0.0001177376016	0.04064115916
ENSG00000163162.9	RNF149	chr2	101308129	101308701	-	573	0.3566864743	2.31E-05	0.01187910731
ENSG00000140521.18	POLG	chr15	89334445	89334672	-	228	0.8800223882	1.02E-05	0.006345357132
ENSG00000167323.13	STIM1	chr11	3855700	3855701	+	2	0.7337694334	1.06E-05	0.006469601284
ENSG00000168884.15	TNIP2	chr4	2756337	2756342	-	6	1.763642183	2.16E-05	0.01126292128
ENSG00000151376.18	ME3	chr11	86672324	86672372	-	49	0.6822937986	1.29E-05	0.007612405169
ENSG00000105223.21	PLD3	chr19	40366916	40367600	+	685	-1.081008634	7.42E-05	0.02840020901
ENSG00000148399.13	DPH7	chr9	137578890	137578890	-	1	1.131493689	1.87E-05	0.01017404704
ENSG00000138448.13	ITGAV	chr2	186590063	186590068	+	6	0.5814142455	1.01E-05	0.006278301861
ENSG00000151692.15	RNF144A	chr2	6917412	6917488	+	77	1.686607611	2.39E-05	0.01220148603
ENSG00000136770.11	DNAJC1	chr10	22003586	22003730	-	145	0.8832687277	2.20E-05	0.01142490728
ENSG00000247556.7	OIP5-AS1	chr15	41301944	41301958	+	15	-1.146311946	0.0001233861508	0.04191182673
ENSG00000022840.17	RNF10	chr12	120534658	120534811	+	154	0.5710191369	9.91E-06	0.006197905694
ENSG00000136244.12	IL6	chr7	22725884	22726258	+	375	0.8945825698	1.80E-05	0.009837147155
ENSG00000170345.10	FOS	chr14	75279237	75279531	+	295	0.3889106841	1.75E-05	0.009702171774
ENSG00000171105.14	INSR	chr19	7293932	7294414	-	483	0.7855350005	2.75E-05	0.0136836057
ENSG00000106484.16	MEST	chr7	130492085	130492112	+	28	1.380151187	0.000132855602	0.04398431081
ENSG00000164543.7	STK17A	chr7	43583108	43583449	+	342	0.3279230239	3.23E-05	0.01534684592
ENSG00000119318.13	RAD23B	chr9	107283310	107283526	+	217	0.5251685243	2.22E-05	0.01145436914
ENSG00000101160.15	CTSZ	chr20	59007238	59007239	-	2	0.7841555871	1.07E-05	0.00654838968
ENSG00000104824.18	HNRNPL	chr19	38849941	38849986	-	46	0.714759798	1.31E-05	0.007689541892
ENSG00000095787.26	WAC	chr10	28532493	28532767	+	275	0.7246124164	1.03E-05	0.006387884995
ENSG00000182287.15	AP1S2	chrX	15854790	15854791	-	2	1.560221657	1.91E-05	0.0102712683
ENSG00000167323.13	STIM1	chr11	3855672	3855699	+	28	0.7307360422	1.19E-05	0.007124016471
ENSG00000081041.9	CXCL2	chr4	74098923	74099020	-	98	1.054656092	5.17E-05	0.02193835195
ENSG00000244255.5	ENSG00000244255	chr6	31943416	31943527	+	112	0.6312179521	2.45E-05	0.01246961912
ENSG00000175550.8	DRAP1	chr11	65919335	65919425	+	91	0.5980001159	1.76E-05	0.009703299444
ENSG00000160714.10	UBE2Q1	chr1	154558366	154558662	-	297	0.4417559133	5.24E-05	0.02216937543
ENSG00000187079.20	TEAD1	chr11	12674421	12674616	+	196	0.7870163983	2.09E-05	0.01099470833
ENSG00000143870.13	PDIA6	chr2	10812786	10812839	-	54	0.7003405134	2.21E-05	0.01142490728
ENSG00000108021.22	TASOR2	chr10	5684965	5685175	+	211	0.5926864368	1.26E-05	0.007479777764
ENSG00000127948.17	POR	chr7	75970987	75971092	+	106	-1.588361423	6.62E-05	0.0261569672
ENSG00000130309.12	COLGALT1	chr19	17555714	17555800	+	87	0.8307939421	1.95E-05	0.01043644222
ENSG00000117152.14	RGS4	chr1	163073623	163074320	+	698	1.324938771	2.24E-05	0.01156678333
ENSG00000092098.18	RNF31	chr14	24147716	24147733	+	18	0.6882319118	1.65E-05	0.009241295983
ENSG00000172766.19	NAA16	chr13	41374475	41374741	+	267	1.515214239	5.36E-05	0.02258784777
ENSG00000132326.13	PER2	chr2	238288349	238288610	-	262	0.9580386212	1.75E-05	0.009702171774
ENSG00000255073.8	ZFP91-CNTF	chr11	58579172	58579622	+	451	0.3655670141	2.66E-05	0.01337165484
ENSG00000074527.13	NTN4	chr12	95790331	95790727	-	397	0.4811638307	5.73E-05	0.02372138685
ENSG00000197006.15	METTL9	chr16	21599592	21599717	+	126	0.9549347289	3.36E-05	0.01575230251
ENSG00000072778.20	ACADVL	chr17	7219948	7220046	+	99	0.443026271	1.11E-05	0.006753843413
ENSG00000153395.10	LPCAT1	chr5	1523741	1523960	-	220	0.4426007028	0.0001176423019	0.04064115916
ENSG00000123064.13	DDX54	chr12	113185441	113185478	-	38	0.4622449315	1.76E-05	0.009702171774
ENSG00000157168.21	NRG1	chr8	32548635	32548661	+	27	0.6241495208	1.42E-05	0.008274095272
ENSG00000068308.15	OTUD5	chrX	48957190	48957607	-	418	0.557249385	2.09E-05	0.01098264087
ENSG00000104687.14	GSR	chr8	30727668	30727701	-	34	0.9867537294	2.57E-05	0.01298577137
ENSG00000105373.19	NOP53	chr19	47755348	47755473	+	126	0.4045842756	2.40E-05	0.01223695066
ENSG00000160957.15	RECQL4	chr8	144517636	144517700	-	65	1.209509793	1.56E-05	0.008940561858
ENSG00000004478.8	FKBP4	chr12	2794970	2795068	+	99	0.618692603	2.35E-05	0.01206465428
ENSG00000141543.12	EIF4A3	chr17	80147129	80147139	-	11	1.140950931	1.93E-05	0.01033849004
ENSG00000112078.14	KCTD20	chr6	36443007	36443011	+	5	0.939069232	2.06E-05	0.01092414279
ENSG00000132522.16	GPS2	chr17	7315121	7315123	-	3	0.9486609419	1.62E-05	0.009111243043
ENSG00000126091.21	ST3GAL3	chr1	43707558	43707565	+	8	1.432967608	1.24E-05	0.007377995076
ENSG00000177706.9	FAM20C	chr7	192571	193804	+	1234	0.3077723051	0.0001388322756	0.04540871465
ENSG00000171206.15	TRIM8	chr10	102644479	102644494	+	16	0.7951083612	1.70E-05	0.009490251801
ENSG00000169180.12	XPO6	chr16	28211551	28211920	-	370	0.3527258666	0.0001432974251	0.04636929918
ENSG00000149091.15	DGKZ	chr11	46347588	46347820	+	233	0.4395504043	4.32E-05	0.019038233
ENSG00000054967.13	RELT	chr11	73376408	73376499	+	92	0.8509870531	2.24E-05	0.01154133531
ENSG00000188191.16	PRKAR1B	chr7	726604	726977	-	374	0.7228881767	4.05E-05	0.01797286892
ENSG00000052749.14	RRP12	chr10	97387997	97388251	-	255	0.9395156448	5.48E-05	0.02286986457
ENSG00000176853.16	FAM91A1	chr8	123768456	123768645	+	190	0.5034619276	1.82E-05	0.00992660579
ENSG00000158406.6	H4C8	chr6	26280899	26281054	-	156	-0.6765878044	9.90E-05	0.03590174685
ENSG00000116871.16	MAP7D1	chr1	36156202	36156463	+	262	0.4372658227	1.75E-05	0.009702171774
ENSG00000167680.17	SEMA6B	chr19	4543097	4544416	-	1320	0.4586904304	2.83E-05	0.01394143421
ENSG00000138760.11	SCARB2	chr4	76213790	76213795	-	6	1.014503362	1.52E-05	0.008736644021
ENSG00000095787.26	WAC	chr10	28533371	28533499	+	129	0.4604764433	1.46E-05	0.008438842815
ENSG00000161091.14	MFSD12	chr19	3573630	3573738	-	109	0.6653921201	1.91E-05	0.0102712683
ENSG00000168487.20	BMP1	chr8	22165372	22165399	+	28	0.736253228	1.76E-05	0.009702171774
ENSG00000187954.14	ZFTRAF1	chr8	144462416	144462871	-	456	0.8662145414	5.30E-05	0.02238265145
ENSG00000282034.2	ENSG00000282034	chr16	30741741	30741908	+	168	-0.6495590107	2.00E-05	0.01066319926
ENSG00000157168.21	NRG1	chr8	32548327	32548589	+	263	0.5262663965	1.66E-05	0.009299521123
ENSG00000018189.13	RUFY3	chr4	70704801	70704893	+	93	0.670021513	3.76E-05	0.017171696
ENSG00000160957.15	RECQL4	chr8	144517602	144517628	-	27	0.9595167329	1.80E-05	0.009837147155
ENSG00000206573.11	THUMPD3-AS1	chr3	9396624	9396624	-	1	1.183514123	5.41E-05	0.02273502965
ENSG00000168924.15	LETM1	chr4	1855972	1856156	-	185	0.9203312712	2.75E-05	0.0136836057
ENSG00000198301.12	SDAD1	chr4	75940950	75941280	-	331	0.7782447887	1.88E-05	0.01023872974
ENSG00000117868.18	ESYT2	chr7	158829089	158829509	-	421	0.4466622591	2.20E-05	0.01142490728
ENSG00000138448.13	ITGAV	chr2	186590039	186590055	+	17	0.6381394721	1.59E-05	0.009041031238
ENSG00000137312.15	FLOT1	chr6	30742204	30742276	-	73	-0.5536991504	1.99E-05	0.01063842434
ENSG00000161960.16	EIF4A1	chr17	7574746	7574782	+	37	-0.3844834549	1.50E-05	0.008643418169
ENSG00000179091.5	CYC1	chr8	144095039	144095075	+	37	1.388195617	4.45E-05	0.01936990804
ENSG00000164292.13	RHOBTB3	chr5	95731146	95731335	+	190	0.5046845074	1.92E-05	0.0103027643
ENSG00000111321.11	LTBR	chr12	6384176	6384252	+	77	0.5491454126	2.03E-05	0.01078251117
ENSG00000146648.21	EGFR	chr7	55019088	55019130	+	43	1.147535563	1.86E-05	0.01016107244
ENSG00000138448.13	ITGAV	chr2	186590069	186590079	+	11	0.5320434575	1.69E-05	0.009447073223
ENSG00000197785.14	ATAD3A	chr1	1512175	1512384	+	210	0.6316773364	2.56E-05	0.01294504387
ENSG00000161996.19	WDR90	chr16	649427	649762	+	336	0.8246388473	5.55E-05	0.02310572464
ENSG00000108021.22	TASOR2	chr10	5684848	5684860	+	13	1.210780762	1.91E-05	0.0102712683
ENSG00000115963.14	RND3	chr2	150486966	150487100	-	135	0.5324953058	4.61E-05	0.01998098651
ENSG00000166592.12	RRAD	chr16	66921685	66921686	-	2	1.466678009	3.25E-05	0.01539758124
ENSG00000177707.11	NECTIN3	chr3	111071816	111071867	+	52	0.6245335971	2.74E-05	0.01367205183
ENSG00000100304.13	TTLL12	chr22	43186893	43187134	-	242	0.5664468488	3.28E-05	0.0154430941
ENSG00000244255.5	ENSG00000244255	chr6	31933867	31933965	+	99	0.6116489454	3.87E-05	0.0175164237
ENSG00000142627.13	EPHA2	chr1	16155848	16156052	-	205	0.3588143975	3.19E-05	0.01520531107
ENSG00000157193.18	LRP8	chr1	53276708	53276824	-	117	0.7388904318	0.0001314508009	0.0437657932
ENSG00000131148.9	EMC8	chr16	85799397	85799544	-	148	0.6182422669	3.83E-05	0.01743136571
ENSG00000161091.14	MFSD12	chr19	3572861	3573021	-	161	0.8354280974	2.29E-05	0.01178368198
ENSG00000162413.17	KLHL21	chr1	6601797	6602869	-	1073	0.3539850491	5.19E-05	0.0219745634
ENSG00000138760.11	SCARB2	chr4	76213800	76213824	-	25	1.036903595	1.89E-05	0.01023872974
